,artist,date,genre,pixelsx,pixelsy,size_bytes,source,style,title,artist_group,in_train,new_filename
28,Gustave Dore,1866,religious painting,4915.0,6068.0,29811319.0,wikiart,Romanticism,Death of Eleazer,train_and_test,True,7486.jpg
29,Gustave Dore,,religious painting,4770.0,6219.0,32443139.0,wikiart,Romanticism,The-Deluge,train_and_test,True,35766.jpg
34,Gustave Dore,,illustration,5878.0,4678.0,24158097.0,wikiart,Romanticism,The hoarders and wasters,train_and_test,False,31977.jpg
551,Ivan Shishkin,1896.0,landscape,4316.0,2880.0,2687846.0,wikiart,Realism,The Forest Clearing,train_and_test,True,71922.jpg
1102,Ivan Shishkin,1878.0,landscape,4000.0,2254.0,7186319.0,wikiart,Realism,The Field of Wheat ,train_and_test,True,39817.jpg
1735,Zdislav Beksinski,c.2000,symbolic painting,3200.0,2399.0,5660398.0,wikiart,Surrealism,Untitled,train_and_test,True,22879.jpg
1747,Gustave Dore,1866,religious painting,2370.0,3230.0,6000393.0,wikiart,Romanticism,Saul and the Witch of Endor,train_and_test,True,94058.jpg
3333,Gustave Dore,,religious painting,2061.0,2781.0,4344681.0,wikiart,Romanticism,Sermon on the Mount,train_and_test,True,63458.jpg
3557,Gustave Dore,,religious painting,2054.0,2707.0,4720767.0,wikiart,Romanticism,The Gleaners,train_and_test,True,37956.jpg
3644,Ivan Shishkin,1870.0,cityscape,2794.0,1967.0,535180.0,wikiart,Realism,Blagoveschensky Cathedral and Province Gymnasia on Blagoveschenskaya Square in Nyzhny Novgorod,train_and_test,True,7359.jpg
4641,Gustave Dore,1854,genre painting,1991.0,2508.0,2197225.0,wikiart,Romanticism,"Semiramide, spidocchiatrice di straccioni",train_and_test,True,84614.jpg
4662,Pablo Picasso,1905,genre painting,1998.0,2495.0,1054971.0,wikiart,Post-Impressionism,A boy with pipe,train_and_test,True,88247.jpg
4916,Pablo Picasso,1903,genre painting,1778.0,2731.0,694579.0,wikiart,Symbolism,The Tragedy,train_and_test,True,63836.jpg
4927,Pablo Picasso,1903,symbolic painting,1786.0,2716.0,685228.0,wikiart,Symbolism,Life,train_and_test,True,7474.jpg
5562,Gustave Dore,1868,religious painting,2587.0,1728.0,1480020.0,wikiart,Romanticism,The Martyrdom of the Holy Innocents,train_and_test,True,79210.jpg
5774,Pablo Picasso,1902,genre painting,1758.0,2478.0,623389.0,wikiart,Symbolism,Mother and child on the beach,train_and_test,True,82578.jpg
5877,Pablo Picasso,1905,genre painting,1741.0,2468.0,682769.0,wikiart,Expressionism,Family of Acrobats with Monkey,train_and_test,True,94319.jpg
5924,Pablo Picasso,1906,genre painting,1734.0,2464.0,888133.0,wikiart,Expressionism,The Harem,train_and_test,True,37299.jpg
5964,Pablo Picasso,1906,self-portrait,1810.0,2348.0,706614.0,wikiart,Expressionism,Self-Portrait,train_and_test,False,14285.jpg
6008,Gustave Dore,,illustration,2305.0,1833.0,1598351.0,wikiart,Romanticism,"The Inferno, Canto 7",train_and_test,False,26311.jpg
6061,Gustave Dore,,illustration,1836.0,2286.0,1367699.0,wikiart,Romanticism,"The Inferno, Canto 10",train_and_test,True,71583.jpg
