,artist,date,genre,pixelsx,pixelsy,size_bytes,source,style,title,artist_group,in_train,new_filename
14,Ivan Aivazovsky,1873,marina,7444.0,5811.0,3189597.0,wikiart,Romanticism,Storm at sea,train_and_test,True,99442.jpg
82,Ivan Aivazovsky,1850,marina,5815.0,3840.0,16019462.0,wikiart,Romanticism,The Ninth Wave,train_and_test,True,81750.jpg
112,Rembrandt,,portrait,4032.0,5008.0,1384905.0,wikiart,Baroque,Lady with a Lap Dog,train_and_test,True,40672.jpg
279,Pierre-Auguste Renoir,1917,sketch and study,4476.0,3396.0,8423735.0,wikiart,Impressionism,Sitting Girl,train_and_test,False,85018.jpg
299,Albrecht Durer,1508,religious painting,3036.0,4858.0,4787454.0,wikiart,Northern Renaissance,Agony In The Garden,train_and_test,True,5145.jpg
325,Rembrandt,1669,self-portrait,3415.0,4224.0,3760367.0,wikiart,Baroque,Self-portrait in at the Age of 63,train_and_test,False,68576.jpg
451,Rembrandt,1640,portrait,3268.0,4045.0,4222317.0,wikiart,Baroque,Self-portrait at the Age of 34,train_and_test,False,67638.jpg
493,Albrecht Durer,1504,religious painting,3848.0,3360.0,12501541.0,wikiart,Northern Renaissance,The Adoration of the Magi,train_and_test,True,64794.jpg
588,Rembrandt,1658,self-portrait,3054.0,3957.0,7459899.0,wikiart,Baroque,Self-portrait,train_and_test,True,60634.jpg
660,Ivan Aivazovsky,,marina,4000.0,2870.0,4162857.0,wikiart,Romanticism,The Black Sea,train_and_test,True,82140.jpg
711,Pierre-Auguste Renoir,,portrait,2795.0,3988.0,5338594.0,wikiart,Impressionism,Ambroise Vollard Portrait,train_and_test,True,3016.jpg
719,Rembrandt,,sketch and study,2892.0,3844.0,3515181.0,wikiart,Baroque,Self-portrait,train_and_test,False,37447.jpg
775,Albrecht Durer,1505,self-portrait,2361.0,4499.0,4774533.0,wikiart,Northern Renaissance,Nude Sel-portrait,train_and_test,True,90385.jpg
798,Ivan Aivazovsky,1873,marina,3543.0,2960.0,2058611.0,wikiart,Romanticism,American Shipping off the Rock of Gibraltar,train_and_test,True,74871.jpg
814,Albrecht Durer,1514,religious painting,2827.0,3673.0,2351280.0,wikiart,Northern Renaissance,St. Jerome in his Study,train_and_test,False,52965.jpg
1067,Albrecht Durer,1503,religious painting,2616.0,3488.0,2335828.0,wikiart,Northern Renaissance,A Life of the Virgin,train_and_test,True,95254.jpg
1720,Albrecht Durer,1508,religious painting,2450.0,3147.0,1346901.0,wikiart,Northern Renaissance,Martyrdom of the Ten Thousand,train_and_test,True,46347.jpg
1821,Albrecht Durer,,sketch and study,2536.0,2958.0,729926.0,wikiart,Northern Renaissance,Arm of Lucretia,train_and_test,True,63492.jpg
1857,Albrecht Durer,,sketch and study,2482.0,3000.0,702738.0,wikiart,Northern Renaissance,Study sheet with the attacked animals,train_and_test,True,53847.jpg
1864,Albrecht Durer,,allegorical painting,2479.0,3000.0,980175.0,wikiart,Northern Renaissance,Horse final death,train_and_test,True,37145.jpg
1870,Albrecht Durer,,sketch and study,2536.0,2929.0,621267.0,wikiart,Northern Renaissance,Study of a body of Christ,train_and_test,True,15075.jpg
1871,Albrecht Durer,,religious painting,2297.0,3232.0,1590005.0,wikiart,Northern Renaissance,The Holy georg,train_and_test,True,48879.jpg
1884,Albrecht Durer,,portrait,2536.0,2922.0,762951.0,wikiart,Northern Renaissance,Landsknecht,train_and_test,True,7187.jpg
1891,Rembrandt,1661,self-portrait,2434.0,3040.0,1382385.0,wikiart,Baroque,Self-portrait as the Apostle Paul,train_and_test,True,1680.jpg
1892,Pierre-Auguste Renoir,c.1880,genre painting,2959.0,2500.0,3101665.0,wikiart,Impressionism,By the Water (Near the Lake),train_and_test,True,3603.jpg
1909,Albrecht Durer,,sketch and study,2458.0,3000.0,975441.0,wikiart,Northern Renaissance,Assumption and Coronation of the Virgin,train_and_test,False,15509.jpg
1921,Albrecht Durer,1506,religious painting,2352.0,3129.0,1046324.0,wikiart,Northern Renaissance,Madonna with the Siskin,train_and_test,True,18039.jpg
1923,Albrecht Durer,,animal painting,3000.0,2451.0,770019.0,wikiart,Northern Renaissance,Parrot,train_and_test,True,28604.jpg
1941,Albrecht Durer,,sketch and study,2442.0,3000.0,777665.0,wikiart,Northern Renaissance,Study to a large fortune,train_and_test,True,21262.jpg
1942,Albrecht Durer,,sketch and study,2442.0,3000.0,919673.0,wikiart,Northern Renaissance,Design for the Fugger Chapel in Augsburg Samson fighting the Philistines,train_and_test,True,89286.jpg
1943,Albrecht Durer,,religious painting,2442.0,3000.0,952853.0,wikiart,Northern Renaissance,Doomsday,train_and_test,True,5443.jpg
1952,Albrecht Durer,,genre painting,2436.0,3000.0,958869.0,wikiart,Northern Renaissance,Abduction,train_and_test,False,41234.jpg
1962,Rembrandt,c.1634,portrait,2389.0,3051.0,2464476.0,wikiart,Baroque,Portrait of Saskia van Uylenburgh,train_and_test,False,32362.jpg
1964,Albrecht Durer,,sketch and study,2429.0,3000.0,938914.0,wikiart,Northern Renaissance,Head of an apostle,train_and_test,True,81650.jpg
1968,Albrecht Durer,,sketch and study,3000.0,2427.0,760945.0,wikiart,Northern Renaissance,Feet of an apostle,train_and_test,True,8339.jpg
1970,Albrecht Durer,,religious painting,2426.0,3000.0,852843.0,wikiart,Northern Renaissance,Visitation,train_and_test,True,48340.jpg
1974,Albrecht Durer,,portrait,2424.0,3000.0,720944.0,wikiart,Northern Renaissance,Portrait of a woman (Agnes Dürer) ,train_and_test,True,83045.jpg
1980,Albrecht Durer,,design,2419.0,3000.0,1071375.0,wikiart,Northern Renaissance,Coat of arms with open man behind ,train_and_test,False,23053.jpg
1990,Albrecht Durer,,portrait,2412.0,3000.0,694455.0,wikiart,Northern Renaissance,Head of a boy,train_and_test,False,85074.jpg
2026,Albrecht Durer,,design,2536.0,2836.0,725632.0,wikiart,Northern Renaissance,Wappen Pirckheimer ,train_and_test,True,1053.jpg
2029,Albrecht Durer,1506,sketch and study,2536.0,2833.0,769947.0,wikiart,Northern Renaissance,Study of Hands,train_and_test,False,56451.jpg
2032,Albrecht Durer,,miniature,2394.0,3000.0,693310.0,wikiart,Northern Renaissance,Draft for a book sign lion,train_and_test,True,1458.jpg
2040,Albrecht Durer,,sketch and study,2390.0,3000.0,970317.0,wikiart,Northern Renaissance,Arm of Eve,train_and_test,True,71402.jpg
2042,Albrecht Durer,,genre painting,2536.0,2827.0,753468.0,wikiart,Northern Renaissance,Sixtus Tucher in open grave,train_and_test,True,35666.jpg
2049,Albrecht Durer,,sketch and study,2385.0,3000.0,670388.0,wikiart,Northern Renaissance,Naked man with mirror,train_and_test,True,78776.jpg
2063,Albrecht Durer,,sketch and study,2536.0,2816.0,921128.0,wikiart,Northern Renaissance,Right Hand of an Apostle,train_and_test,True,52950.jpg
2090,Albrecht Durer,,portrait,2370.0,3000.0,809529.0,wikiart,Northern Renaissance,Portrait of a Woman (Creszentia Pirckheimer) ,train_and_test,True,65984.jpg
2106,Albrecht Durer,1498,self-portrait,2322.0,3051.0,1909094.0,wikiart,Northern Renaissance,Self-Portrait,train_and_test,True,52497.jpg
